2516,PWY-5996
2523,GLYCLEAV-PWY
2546,GLYCLEAV-PWY
2548,PWY-5046
2549,PWY-2201
2552,THIOREDOX-PWY
2558,PWY0-166
2561,PWY-5067
2564,GLUT-REDOX-PWY
2567,PWY-5988
2572,PWY-5084
2601,PWY-6012
2602,PWY-6012
2610,PWY-5067
2616,PYRUVDEHYD-PWY
2622,GLUDEG-II-PWY
2623,PWY-3781
2627,PWY0-166
2638,PWY-5046
2639,PWY-5538|PWY-6142|GLUDEG-II-PWY
2642,PWY0-166
2645,FASYN-INITIAL-PWY|PWY-5966
2648,PWY0-166
2651,THIOREDOX-PWY
2672,PYRUVDEHYD-PWY
